title,title_id,genre,authors,weekdays,length,subscribers,views,likes,status,synopsis,rating,year
At Your Mercy,7200,ROMANTIC FANTASY,"Team honeybread, Team Lightsalt, Early Flower",THURSDAY,Short,181433,3770534,231163,HIATUS,"Han Jian yang awalnya menjalani kehidupan normal, tiba-tiba 'masuk' ke dalam novel yang sedang dia baca. Masalahnya ini adalah 'perpindahan jiwa'-nya yang kedua kali! Ditambah lagi, karakter yang menampung jiwanya ini dikenal sebagai putri yang 'bodoh'!

Di tengah kebingungannya, muncul seorang pangeran di dunia novel ini yakni Grand Duke Iskan Anagrok. Pria itu pun menunjukkan ketertarikannya pada putri 'bodoh' tersebut! Bisakah Jian bertahan hidup di dunia ini?",5,2024
Fullmetal Alchemist,7199,FANTASY,Hiromu Arakawa,TUESDAY,Short,13354,255591,35912,ONGOING,"Petualangan Edward dan Alphonse, kakak beradik yang ingin menghidupkan kembali ibu mereka melalui alkimia dimulai! ⓒHiromu Arakawa/SQUARE ENIX CO., LTD.",4.45,2024
Please Kill My Husband,7198,ROMANTIC FANTASY,"GUMUL, Lee Yone, CANNT WORKS",MONDAY,Short,78767,2293741,99672,ONGOING,"Gara-gara kejatuhan keluarga Ruttengard, Brienne dijodohkan dengan Derrick Astahel, seorang baron kaya dari wilayah selatan. Awalnya, Derrick terlihat sebagai pria yang baik, namun sifat aslinya segera terungkap dalam perjalanan mereka ke wilayah Derrick. Kehidupan pernikahan Brienne bagai neraka, dan 8 tahun kemudian… Brienne menjadi tersangka pembunuhan suaminya. Brienne diduga dibantu oleh salah satu dari tiga pria, yang mana ketiganya pernah terlibat skandal dengannya!",3.1,2024
Maru Si Guguk,7197,SLICE OF LIFE,Mojo,SUNDAY,Medium,17824,493001,90249,ONGOING,"Choi Woori tinggal seorang diri bersama anak anjingnya, Maru – hingga suatu hari Maru berubah menjadi manusia! Kini, Woori harus menjadi kakak bagi Maru yang setiap hari membuat ulah! Bagaimana kehidupan Woori bersama Maru yang dulunya seekor anjing itu?",5,2024
The Empire's Cutest Little Hostage,7196,ROMANTIC FANTASY,"Uanke, HN, Darongkkot",SATURDAY,Medium,130704,3822110,305278,ONGOING,"Untuk menghindari hidup penuh penderitaan yang berakhir dengan kematian di bawah ayah tirinya, Elaine yang kembali menjadi bocah menyamar sebagai Putri agar dibawa ke kekaisaran sebagai tawanan! Elaine bertekad membuktikan bahwa dirinya berguna agar tidak dikirim kembali, tapi keimutannya malah membuatnya diadopsi oleh kaisar. Tak berakhir di situ, Elaine juga harus menghadapi ibu suri yang menyeramkan dan kakak-kakak barunya yang juga menakutkan. Mampukah Elaine merebut hati rakyat kekaisaran?",2.65,2024
Ordeal,7191,FANTASY,Brent Bristol,THURSDAY,Medium,23336,592524,38821,ONGOING,"Che hanyalah seorang manusia biasa di dunia yang dipenuhi ""Kimyo"" berkekuatan super, namun dia bertekad menjadi petarung terhebat sepanjang masa. Ketika mentor yang paling dia hormati dibunuh, Che bersumpah untuk membalas dendam dan memulai perjalanan untuk menemukan pelakunya.

Tak perlu waktu lama bagi Che untuk menyadari bahwa dunia para Kimyo jauh lebih luas dari yang pernah dia bayangkan. Dia bahkan menemukan kebenaran mengejutkan: dirinya mungkin adalah Kimyo terkuat di Bumi, dengan kekuatan dari matahari.

Mampukah Che mengendalikan kekuatan barunya, atau justru akan hancur terbakar oleh bara ujian yang harus dia hadapi?",5,2024
My Only 1,7190,ROMANCE,EGGKIM,WEDNESDAY,Short,130601,5095844,161002,COMPLETED,"Melelahkan, Yoo Haneul kini sudah mulai menyerah akan cintanya... Di saat seperti ini, tiba-tiba dia bisa melihat angka-angka yang tertulis pada tubuh semua orang yang dilihatnya. Belum menemukan jawaban atas kebingungan ini, Haneul bertemu dengan Jeon Haerim. Dari sini kebingungan dan kegilaan pikiran Haneul bermula, sebenarnya apa arti semua ini?!",5,2024
Ada Apa dengan Dadaku?,7189,SLICE OF LIFE,mooolung_e,MONDAY,Short,23974,920583,65821,COMPLETED,"Masih ingat dengan apa yang terjadi di tahun 2020? Benar... Pandemi itu, lho!
Karena kejadian itu, aku harus mendapatkan vaksin.
Siapa sangka, ternyata vaksin membuat bagian tubuh favoritku membesar! Yep, dadaku membesar!!!",5,2024
The Losing Streak,7188,ROMANCE,"Hongwa, Peralta",SUNDAY,Short,55943,1450233,40160,COMPLETED,"Selama Shin Seungah menjadi penggemar tim ""Futures Victory"", tim bisbol itu selalu mendapatkan peringkat terakhir. Kekecewaan dan kemarahannya terhadap tim tersebut membuat Seungah memutuskan untuk berhenti menjadi penggemar bisbol setelah menonton pertandingan mereka untuk yang terakhir kalinya.



Namun, hal yang tak terduga terjadi pada momen 'kiss time' di pertandingan tersebut. Saat Seungah mencium Choi Jon, fans bisbol yang ada di sebelahnya, tiba-tiba tim ""Futures Victory"" meraih kemenangan!

Sejak saat itu, Seungah menyadari bahwa semakin intim hubungan antara dirinya dan Choi Jon, semakin berdampak positif bagi tim yang mereka dukung. Mereka pun memulai 'proyek kejuaraan tim' bersama-sama!",2.9,2024
The Roguish Guard in a Medieval Fantasy,7187,FANTASY,"kimgarden, Studio MW, wm, gomdol-ineun",SATURDAY,Short,21461,431710,38800,HIATUS,"Terlempar ke dalam cerita fantasi berlatar abad pertengahan?! Dengan kondisi dunia yang sangat kejam dan dikuasai perang, sihir, serta berbagai hal aneh lainnya, Aaron harus menjabat sebagai ketua tim penjaga. Mampukah Aaron bertahan hidup di masa ketika hukum dan pandangan moral masih sangat primitif? ",3.2,2024
